97,Turčianske Teplice ,Bad Stuben ,Stubnyafürdő ,7 031 ,Žilinský kraj
98,Krásno nad Kysucou ,- ,Karásznó ,6 939 ,Žilinský kraj
99,Medzilaborce ,- ,Mezőlaborc ,6 741 ,Prešovský kraj
100,Žarnovica ,Scharnowitz ,Zsarnócza ,6 596 ,Banskobystrický kraj
101,Gelnica ,Göllnitz ,Gölnicbánya ,6 404 ,Košický kraj
102,Sobrance ,Sobranz ,Szobránc ,6 262 ,Košický kraj
103,Vrbové ,Werbau ,Verbó ,6 249 ,Trnavský kraj
104,Nemšová ,- ,Nemsó ,6 136 ,Trenčínský kraj
105,Spišská Belá ,Zipser Bela ,Szepesbéla ,6 136 ,Prešovský kraj
106,Lipany ,Siebenlinden ,Héthárs ,6 130 ,Prešovský kraj
107,Poltár ,- ,Poltár ,5 099 ,Banskobystrický kraj
108,Sládkovičovo ,Diosek ,Diószeg ,6 078 ,Trnavský kraj
109,Rajec ,Rajetz ,Rajecz ,6 074 ,Žilinský kraj
110,Kremnica ,Kremnitz ,Körmöcbánya ,5 822 ,Banskobystrický kraj
111,Brezová pod Bradlom ,Birkenhain ,Berezó ,5 567 ,Trenčínský kraj
112,Ilava ,Illau ,Illava ,5 411 ,Trenčínský kraj
113,Vysoké Tatry ,- ,Magastátra/Tátraváros ,5 407 ,Prešovský kraj
114,Gbely ,Egbell ,Egbell ,5 223 ,Trnavský kraj
115,Bojnice ,Weinitz ,Bajmóc ,5 006 ,Trenčínský kraj
116,Šaštín-Stráže ,Schoßberg-Strascha ,Sasvár-Strázsa ,5 005 ,Trnavský kraj
117,Dobšiná ,Dobschau ,Dobsina ,4 896 ,Košický kraj
118,Sliač ,Sliatsch ,Szliács ,4 667 ,Banskobystrický kraj
119,Čierna nad Tisou ,- ,Tiszacsernyő ,4 645 ,Košický kraj
120,Svätý Jur ,Sankt Georgen ,Szentgyörgy ,4 614 ,Bratislavský kraj
121,Strážske ,Straschke ,Őrmező ,4 474 ,Košický kraj
122,Trenčianske Teplice ,Trentschin-Teplitz ,Trencsénteplic ,4 438 ,Trenčínský kraj
123,Nováky ,- ,Nyitranovák ,4 402 ,Trenčínský kraj
124,Tlmače ,- ,Garamtolmács ,4 305 ,Nitranský kraj
125,Tisovec ,Theißholz ,Tiszolc ,4 215 ,Banskobystrický kraj
126,Medzev ,Metzenseifen ,Mecenzéf ,4 196 ,Košický kraj
127,Giraltovce ,- ,Girált ,4 189 ,Prešovský kraj
128,Veľký Šariš ,Großscharosch ,Nagysáros ,4 018 ,Prešovský kraj
129,Leopoldov ,Leopold(neu)stadtl ,Újvároska ,3 999 ,Trnavský kraj
130,Spišské Podhradie ,Kirchdrauf ,Szepesváralja ,3 780 ,Prešovský kraj
131,Hanušovce nad Topľou ,- ,Tapolyhanusfalva ,3 582 ,Prešovský kraj
132,Spišské Vlachy ,Wallendorf ,Szepesolaszi ,3 550 ,Košický kraj
133,Jelšava ,Eltsch ,Jolsva ,3 287 ,Banskobystrický kraj
134,Podolínec ,Pudlein ,Podolin ,3 173 ,Prešovský kraj
135,Rajecké Teplice ,Bad Rajetz ,Rajecfürdő ,2 677 ,Žilinský kraj
136,Spišská Stará Ves ,Alt(en)dorf ,Szepesófalu ,2 340 ,Prešovský kraj
137,Dudince ,Dudintze ,Gyűgy ,1 500 ,Banskobystrický kraj
138,Modrý Kameň ,Blauenstein ,Kékkő ,1 434 ,Banskobystrický kraj
